CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,P21,PP04D_COD,P47T,REGION,AGLOMERADO,TRIMESTRE,ANO4
Mujer,20.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Desocupado,0.0,391.6666666666667,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,27.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,391.6666666666667,1200.0,30313,1200.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,391.6666666666667,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,74.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,550.0,800.0,20313,800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,65.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,550.0,300.0,33114,300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,59.0,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,520.625,2000.0,30113,2000.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,57.0,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,520.625,550.0,56314,550.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,26.0,Soltero,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,520.625,800.0,30313,800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,24.0,Soltero,No paga ni le descuentan,Primaria Completa,Ocupado,0.0,520.625,400.0,57313,600.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,17.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,Estudiante,520.625,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,23.0,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Desocupado,0.0,520.625,0.0,     ,15.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,4.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,520.625,0.0,     ,100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,1.0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,Menor de 6 años,520.625,0.0,     ,100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,40.0,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,420.0,1100.0,90313,1100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,48.0,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,420.0,700.0,82123,700.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,28.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,420.0,300.0,80123,300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,16.0,Soltero,Obra social (incluye PAMI),Secundaria Completa,Inactivo,Otros,420.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,9.0,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,Estudiante,420.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,83.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Secundaria Completa,Inactivo,Jubilado/pensionado,350.0,0.0,     ,700.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,86.0,Soltero,Obra social y mutual/prepaga/servicio de emergencia,Primaria Completa,Inactivo,Ama de casa,350.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
